blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,63076,4019,78,15.6,721,199,0,22,16,31,56,29,0,0,0,3,1,1,1,0,0,1,0,1,0,57056,2912,72,14.4,792,184,1,16,22,23,65,18,1,0,1,4,1,2,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,54,104,103,115,497,39,234,61,126,518
0,67377,1860,81,16.2,811,159,1,22,25,27,52,29,0,0,0,2,1,0,1,0,0,0,1,0,0,75743,1858,84,16.8,763,184,0,25,22,38,130,28,1,0,2,5,2,1,2,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,58,91,134,498,12,14,427,61,145,497
1,63768,2323,77,15.4,794,167,1,16,16,26,84,22,1,0,2,4,2,0,2,0,0,2,1,0,0,59968,2115,77,15.4,753,185,0,16,16,28,172,21,0,0,0,4,1,2,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,897,427,711,222,12,266,254,518,110,432
1,59947,4513,77,15.4,714,163,0,21,14,35,63,28,0,0,0,3,1,1,1,0,0,0,1,0,0,48791,3989,67,13.4,670,179,1,14,21,15,78,30,1,0,3,3,1,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,897,104,103,526,145,777,64,126,115,518
1,59139,3884,74,14.8,695,216,1,22,15,56,119,43,0,0,0,1,1,0,0,0,0,1,1,1,0,48635,803,66,13.2,707,143,0,15,22,17,77,19,1,0,3,5,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,58,76,126,145,111,897,200,134,523,497
0,59254,2839,73,14.6,695,120,1,29,27,40,54,16,0,0,0,3,1,1,1,0,0,1,1,0,0,67423,2964,79,15.8,689,238,0,27,29,44,62,20,1,0,2,4,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,266,59,7,222,497,777,121,61,523,412
0,51549,2016,63,12.6,572,146,0,21,32,41,74,16,1,0,1,4,1,2,1,0,0,0,1,0,0,59291,4163,72,14.4,553,151,1,32,21,50,61,22,0,0,0,3,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,58,163,126,222,902,24,59,61,235,223
0,45393,2073,66,13.2,596,116,1,19,31,28,45,8,0,0,0,0,0,0,0,0,0,0,2,0,0,56016,1804,73,14.6,676,171,0,31,19,29,53,11,1,1,2,8,3,3,2,2,1,4,0,1,1,0,0,0,0,0,0,0,2,1,0,103,59,887,235,777,897,104,126,69,89
0,62821,3455,77,15.4,769,148,1,15,32,20,68,18,0,0,0,2,0,0,2,0,0,0,2,0,0,66747,3356,78,15.6,651,179,0,32,15,47,47,31,1,1,3,9,4,3,2,1,1,3,0,1,1,0,0,0,0,0,0,1,1,0,0,897,887,777,145,555,266,234,61,235,223
0,52947,3898,70,14.0,666,118,1,23,21,39,74,26,0,0,0,1,0,0,1,0,1,2,1,0,0,60963,3440,75,15.0,641,199,0,21,23,33,53,33,1,0,1,4,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,24,20,103,21,53,897,63,777,235,223
0,48816,3042,62,12.4,636,139,0,19,33,17,120,21,1,0,2,4,2,2,0,0,0,1,1,0,0,57498,2731,70,14.0,614,124,1,33,19,50,69,21,0,0,0,7,1,3,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,58,76,126,51,201,24,59,517,110,43
0,52971,1356,71,14.2,741,158,0,14,19,13,59,36,0,0,0,2,1,1,0,0,0,1,2,0,0,62576,4901,78,15.6,797,186,1,19,14,17,127,38,1,0,3,5,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,897,60,777,51,99,150,76,126,110,43
0,63670,4895,75,15.0,746,155,1,25,26,39,63,28,1,0,1,3,1,1,1,0,1,2,0,0,0,68978,4743,78,15.6,700,179,0,26,25,42,69,24,0,1,0,6,3,2,1,1,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,5,58,7,145,53,266,254,517,119,888
1,64535,3930,79,15.8,718,164,0,26,12,50,64,29,0,0,0,2,1,1,0,0,1,2,0,0,0,52461,3182,68,13.6,647,164,1,12,26,21,66,25,1,0,3,4,1,1,2,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,266,59,61,498,497,80,104,134,221,117
1,60070,5321,76,15.2,694,151,0,28,18,39,64,18,0,0,0,2,1,0,1,0,0,1,2,1,0,51142,2633,69,13.8,631,120,1,18,28,26,53,20,1,0,1,5,2,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,24,59,134,498,518,887,62,61,523,497
0,48676,1478,65,13.0,618,127,1,15,22,29,76,20,0,0,0,2,1,1,0,0,0,1,2,0,0,60595,967,75,15.0,726,187,0,22,15,28,59,26,1,0,3,3,0,1,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,68,59,61,498,888,897,91,517,145,12
0,49180,4624,65,13.0,650,139,1,25,20,35,86,36,0,0,0,3,1,1,1,0,0,1,1,0,0,56976,4044,73,14.6,674,159,0,20,25,34,72,29,1,0,1,3,1,1,1,0,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,78,59,7,115,555,24,121,268,126,57
0,50990,3043,66,13.2,728,160,1,14,21,17,65,33,0,0,0,5,2,2,1,0,0,1,0,0,0,58037,1670,74,14.8,723,158,0,21,14,26,71,26,1,0,2,6,2,2,2,0,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,126,121,517,145,526,897,254,268,498,497
1,75557,3270,83,16.6,801,149,0,20,29,29,139,17,0,0,0,3,0,2,1,0,0,0,1,0,0,64310,6417,74,14.8,762,159,1,29,20,42,66,55,1,1,2,6,4,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,420,59,61,429,888,897,113,84,119,22
0,50725,1460,66,13.2,692,138,0,17,29,29,65,19,1,0,2,3,1,1,1,0,0,0,1,0,0,61790,1832,78,15.6,740,178,1,29,17,36,60,25,0,0,0,5,1,2,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,24,64,7,115,497,266,200,711,145,111
1,63366,2925,80,16.0,815,191,1,14,11,19,64,31,0,0,0,3,0,3,0,0,1,2,2,0,0,57330,2531,74,14.8,723,195,0,11,14,17,65,27,1,0,2,4,3,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,887,234,166,523,111,897,104,63,222,888
0,57762,1742,72,14.4,682,111,0,23,42,32,45,21,0,0,0,2,1,1,0,0,0,1,1,0,0,66648,3578,75,15.0,625,195,1,42,23,60,59,12,1,1,3,8,2,2,4,1,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,77,254,61,15,201,777,113,517,145,53
1,60080,3485,76,15.2,706,203,1,20,11,19,64,27,1,0,3,5,1,2,2,0,0,2,2,1,0,46829,2598,69,13.8,655,142,0,11,20,20,68,18,0,0,0,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,24,163,126,222,412,68,254,4,895,497
1,62423,6364,77,15.4,770,176,1,22,16,31,95,39,0,0,0,1,0,1,0,0,1,3,1,0,0,49862,2644,66,13.2,729,161,0,16,22,21,73,47,1,0,1,4,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,150,59,61,523,497,69,104,136,222,526
0,49147,1925,65,13.0,571,123,0,24,30,28,44,29,1,0,1,2,0,1,1,0,0,0,1,0,0,60136,4453,73,14.6,608,129,1,30,24,34,104,12,0,0,0,3,1,1,1,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,68,59,131,51,74,24,64,517,202,43
1,68377,1888,78,15.6,738,204,1,30,18,40,73,28,0,0,0,3,1,2,0,0,0,1,2,0,0,51709,2366,67,13.4,660,114,0,18,30,24,67,26,1,0,2,3,1,0,2,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,68,104,517,119,497,58,64,360,12,134
0,59093,3205,74,14.8,682,142,1,29,24,40,61,18,0,0,0,2,1,0,1,0,1,2,1,0,0,68961,2349,79,15.8,727,198,0,24,29,40,166,24,1,0,3,4,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,57,154,126,81,43,150,91,517,18,432
1,58838,6090,72,14.4,550,152,0,31,18,52,59,26,0,0,0,2,0,1,1,0,1,1,1,1,0,48021,2858,62,12.4,657,149,1,18,31,25,61,21,1,0,3,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,154,555,18,526,126,28,134,145,12
1,85247,4149,89,17.8,892,297,1,23,10,35,144,35,1,0,1,4,2,2,0,0,0,1,1,0,0,73271,2731,84,16.8,968,174,0,10,23,13,132,29,0,0,0,4,1,1,2,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,166,68,126,429,432,39,64,134,222,888
1,82295,4261,87,17.4,1026,261,0,26,9,40,147,32,0,0,0,2,1,1,0,0,1,2,1,1,0,75196,2885,84,16.8,981,158,1,9,26,11,70,58,1,0,1,5,2,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,420,60,777,222,526,114,57,18,115,497
0,51434,2231,67,13.4,623,122,1,15,30,21,60,22,0,0,0,2,0,1,1,0,0,1,0,0,0,62207,2955,76,15.2,691,147,0,30,15,42,61,17,1,0,2,5,2,1,2,0,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,85,163,555,18,526,126,59,61,115,497
0,42450,3084,61,12.2,665,113,1,9,17,12,127,23,1,0,1,1,0,1,0,0,0,0,1,0,0,52012,3083,70,14.0,715,157,0,17,9,30,65,33,0,1,0,9,2,2,5,1,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,777,76,126,110,412,3,163,236,81,526
0,60779,1902,75,15.0,796,183,1,16,16,24,56,20,1,0,1,1,0,1,0,0,0,0,1,0,0,69516,1922,83,16.6,859,191,0,16,16,44,69,23,0,0,0,4,2,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,79,64,268,222,53,54,234,61,110,412
